Ast_2,Ast_30,Ast_4,FPL_points,FPL_points_2,FPL_points_30,FPL_points_4,FPL_pos,GW,Gls_2,Gls_30,Gls_4,Min_2,Min_30,Min_4,Name_original,Opp_rating,Opp_score_2,Opp_score_30,Opp_score_4,Opponent,Rating_difference,Season,Team,Team_CS_2,Team_CS_30,Team_CS_4,Team_rating,Team_result_2,Team_result_30,Team_result_4,Team_score_2,Team_score_30,Team_score_4,Was_home,xA_2,xA_30,xA_4,xG_2,xG_30,xG_4,xP
0.0,0.0,0.0,1.0,8.5,3.3666666666666667,5.5,GK,21,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1871.58154297,0.0,1.1,0.75,Manchester Utd,1.0370011184445145,2022-23,Arsenal,1.0,0.3333333333333333,0.5,1940.83215332,2.0,2.1666666666666665,2.5,1.0,2.033333333333333,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,3.0,6.0,3.1,5.0,GK,22,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1666.90844727,1.0,1.1666666666666667,1.0,Everton,1.1675853078119005,2022-23,Arsenal,0.5,0.3,0.5,1946.2578125,3.0,2.1666666666666665,2.5,2.5,2.066666666666667,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,2.0,2.0,3.1666666666666665,5.25,GK,23,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1785.55432129,1.5,1.1333333333333333,0.75,Brentford,1.082208487291471,2022-23,Arsenal,0.0,0.3,0.5,1932.34204102,1.5,2.1666666666666665,1.75,1.5,2.066666666666667,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,1.0,2.5,3.2,4.25,GK,12,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,2016.0144043,1.0,1.0666666666666667,1.0,Manchester City,0.9553624875010521,2022-23,Arsenal,0.0,0.3,0.25,1926.02453613,0.5,2.2,1.75,0.5,2.1,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,2.0,1.5,3.2,1.75,GK,24,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1747.875,2.0,1.1,1.75,Aston Villa,1.0960382138139169,2022-23,Arsenal,0.0,0.3,0.0,1915.73779297,0.5,2.2,1.0,1.0,2.1,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,10.0,1.5,3.2,2.0,GK,25,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1764.42773438,2.5,1.1333333333333333,1.75,Leicester City,1.0888294551463025,2022-23,Arsenal,0.0,0.3,0.0,1921.16088867,1.5,2.3,1.0,2.5,2.2333333333333334,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,7.0,6.0,3.5,3.75,GK,7,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1670.73156738,1.0,1.0666666666666667,1.5,Everton,1.1529402446921522,2022-23,Arsenal,0.5,0.3333333333333333,0.25,1926.25366211,3.0,2.3,1.75,2.5,2.1333333333333333,1.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
0.0,0.0,0.0,1.0,8.5,3.6333333333333333,5.0,GK,26,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1642.19958496,0.0,1.0333333333333334,1.25,Bournemouth,1.1755104977736432,2022-23,Arsenal,1.0,0.36666666666666664,0.5,1930.42285156,3.0,2.3,2.25,2.5,2.1666666666666665,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,6.0,4.0,3.6,5.0,GK,27,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1735.18579102,1.0,1.0666666666666667,1.0,Fulham,1.1165500334065777,2022-23,Arsenal,0.5,0.36666666666666664,0.5,1937.42175293,3.0,2.3,3.0,3.5,2.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,3.0,3.5,3.7333333333333334,6.0,GK,28,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1733.64318848,1.0,1.0333333333333334,0.5,Crystal Palace,1.1175044650385106,2022-23,Arsenal,0.5,0.4,0.75,1937.35400391,3.0,2.3,3.0,3.0,2.2333333333333334,2.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
