id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7988,Billy Gilmour,3,169,0,0.12342182733118534,0,0.10343125462532043,3,2,0,0,M S,Brighton,0,0.12342182733118534,2.976020723581314,2.7986269742250443
8040,Marvelous Nakamba,2,180,0,0.013922066427767277,0,0.08146951720118523,1,3,1,0,M,Luton,0,0.013922066427767277,1.0028904527425766,0.9266818985342979
8066,Arnaut Danjuma Groeneveld,3,160,0,0.977899432182312,0,0.09493032842874527,9,1,0,0,F S,Everton,0,0.977899432182312,1.1401872709393501,0.09537248313426971
8067,Reece James,1,83,0,0.028564339503645897,0,0.5029239058494568,1,2,0,0,D,Chelsea,0,0.028564339503645897,0.826264500617981,0.826264500617981
8090,Lloyd Kelly,2,100,0,0,0,0,0,0,1,0,D S,Bournemouth,0,0,0.07354862242937088,0.07354862242937088
8204,Neco Williams,2,102,0,0.02352273091673851,0,0.025770094245672226,1,1,0,0,D S,Nottingham Forest,0,0.02352273091673851,0.13195941597223282,0.08266659080982208
8214,Tyrick Mitchell,3,270,0,0.051525987684726715,0,0.3839161992073059,1,2,0,0,D,Crystal Palace,0,0.051525987684726715,1.3563221096992493,1.2441468238830566
8285,Sander Berge,2,161,0,0,0,0.015628790482878685,0,1,1,0,M,Burnley,0,0,0.17353032529354095,0.15790153294801712
8286,Jack Robinson,3,261,0,0.04274601489305496,0,0,1,0,0,0,D,Sheffield United,0,0.04274601489305496,0.16867969185113907,0.1259336769580841
8288,Tomas Soucek,3,218,0,0.5973717570304871,1,0.19534544087946415,2,4,0,0,M,West Ham,0,0.5973717570304871,0.3974020630121231,0.33214080333709717
8323,Josh Brownhill,1,1,0,0,0,0,0,0,0,0,S,Burnley,0,0,0,0
8327,Bruno Guimarães,3,270,0,0.1284448765218258,0,0.06162092834711075,4,2,2,0,M,Newcastle United,0,0.1284448765218258,1.1994124054908752,1.0271575897932053
8379,Alexis Mac Allister,3,233,0,0,0,0.03263983130455017,0,1,1,1,M,Liverpool,0,0,0.7539447844028473,0.7213049829006195
8476,Jarrad Branthwaite,1,90,0,0.16874061524868011,0,0,3,0,1,0,D,Everton,0,0.16874061524868011,0.35118165612220764,0.30824849009513855
8497,Cole Palmer,1,5,0,0,0,0,0,0,0,0,S,Manchester City,0,0,0,0
8635,Sven Botman,3,270,0,0.18139848113059998,1,0.5244932174682617,3,1,1,0,D,Newcastle United,0,0.18139848113059998,1.3463703393936157,1.3463703393936157
8666,Cheick Oumar Doucoure,3,270,0,0.07213787455111742,0,0.10586343705654144,3,3,1,0,M,Crystal Palace,0,0.07213787455111742,1.32211072742939,1.1441093683242798
8706,Eberechi Eze,3,270,0,0.9712434411048889,0,0.9909677803516388,16,9,0,0,M,Crystal Palace,0,0.9712434411048889,2.003198951482773,1.0181845128536224
8756,Dara O&#039;Shea,2,180,0,0,0,0.019953954964876175,0,1,0,0,D,Burnley,0,0,0.15762131288647652,0.15762131288647652
8776,Wes Foderingham,3,270,0,0,0,0,0,0,0,0,GK,Sheffield United,0,0,0.1259336769580841,0.1259336769580841
8778,Fabio Silva,3,144,0,0.8546670377254486,0,0.17547177895903587,5,3,0,0,F S,Wolverhampton Wanderers,0,0.8546670377254486,1.133229821920395,0.10309101641178131
8780,Joël Veltman,3,55,0,0.05178019776940346,1,0.025604143738746643,1,1,0,0,S,Brighton,0,0.05178019776940346,0.29068098962306976,0.21329664438962936
8808,Wataru Endo,2,85,0,0,0,0,0,0,0,0,M S,Liverpool,0,0,0,0
8831,Iyenoma Destiny Udogie,3,250,0,0.3593902289867401,1,0.7781247505918145,1,3,1,0,D,Tottenham,0,0.3593902289867401,1.8492064774036407,1.3208154290914536
8852,Konstantinos Tsimikas,1,1,0,0,0,0,0,0,0,0,S,Liverpool,0,0,0,0
8858,Guglielmo Vicario,3,270,0,0,0,0,0,0,1,0,GK,Tottenham,0,0,0.8168921023607254,0.8168921023607254
8859,Mikkel Damsgaard,2,39,0,0.07185065001249313,0,0,1,0,0,0,S,Brentford,0,0.07185065001249313,0.07185065001249313,0
8865,Ollie Watkins,3,262,0,1.9173007905483246,2,1.1345418691635132,8,7,0,0,F,Aston Villa,0,1.9173007905483246,3.724563181400299,0.8166293278336525
8918,Max Lowe,2,129,0,0,0,0.012994728051126003,0,1,0,0,D,Sheffield United,0,0,0.012994728051126003,0
