first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Jason,Steele,0,0,5,180,2,0.0,60.6,0.0,0,39,6.0,0,0,0,5.0,45,GK
Deniz,Undav,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD
Jan Paul,van Hecke,0,0,2,90,1,0.5,32.2,17.0,0,19,5.0,0,0,0,2.0,40,DEF
Joël,Veltman,0,1,6,62,2,12.4,36.0,17.0,0,23,6.6,0,0,0,0.8,44,DEF
Bart,Verbruggen,0,0,2,90,3,0.0,29.8,0.0,0,16,3.0,0,0,0,0.4,44,GK
Adam,Webster,0,0,2,180,4,7.0,40.2,0.0,0,34,4.8,0,0,1,0.3,44,DEF
Danny,Welbeck,0,0,4,192,2,41.8,12.2,62.0,0,5,11.6,1,0,0,1.7,59,FWD
Andi,Zeqiri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,45,FWD
Igor Julio,dos Santos de Paulo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF
Jack,Hinshelwood,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Enock,Agyei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID
Ameen,Al-Dakhil,0,0,2,180,6,0.6,20.2,2.0,0,23,2.3,0,0,0,0.6,40,DEF
Samuel,Bastien,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Manuel Benson,Hedilazio,0,0,2,61,3,0.8,0.0,0.0,0,4,0.1,0,0,0,0.1,54,MID
Jordan,Beyer,0,0,1,73,2,0.2,18.8,0.0,0,18,1.9,0,0,0,4.1,40,DEF
Josh,Brownhill,0,0,1,1,0,1.0,0.0,0.0,0,3,0.1,0,0,0,0.2,49,MID
Darko,Churlinov,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Jack,Cork,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Dara,Costelloe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Josh,Cullen,0,0,3,180,6,6.5,3.8,0.0,0,23,1.0,0,0,1,0.1,50,MID
CJ,Egan-Riley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Hjalmar,Ekdal,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF
Lyle,Foster,1,0,8,170,6,12.4,7.8,13.0,0,29,3.3,0,0,0,0.3,50,FWD
Denis,Franchi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Jóhann Berg,Gudmundsson,0,1,4,45,1,0.0,0.0,0.0,0,15,0.0,0,0,0,0.0,49,MID
Luke,McNally,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Arijanet,Muric,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,GK
