,index,Date,Day,Comp,Round,Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Name,Season,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,WDL,GoalsTeams,Team Score,Opp Score,CS,Was Home,GW
743,4,2023-08-27,Sun,Premier League,Matchweek 3,Away,Manchester City,Sheffield Utd,Y,AM,90.0,0.0,0.0,0,0,8,3,0,0,67.0,0.0,1,3.0,0.7,0.7,0.2,3.0,0.0,34.0,52.0,65.4,4.0,44.0,1.0,0.0,0.0,Match Report,Julian-Alvarez,2023-24,,,,,,,,,W,2–1,2,1,0.0,0.0,3
744,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Brighton,Luton Town,N,AM,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0,Match Report,Julio-Cesar-Enciso,2023-24,,,,,,,,,W,4–1,4,1,0.0,1.0,1
745,1,2023-08-19,Sat,Premier League,Matchweek 2,Away,Brighton,Wolves,Y,AM,66.0,0.0,2.0,0,0,4,1,1,0,33,0,0,0,0.2,0.2,0.7,5,2,17,24,70.8,0,28,5,8,6,Match Report,Julio-Cesar-Enciso,2023-24,,,,,,,,,W,4–1,4,1,0.0,0.0,2
746,0,2023-08-06,Sun,Community Shield,FA Community Shield,Neutral,Arsenal,Manchester City,Y,LB,75.0,0.0,0.0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,Match Report,Jurrien-Timber,2023-24,,,,,,,,,D,1 (4)–1 (1),1,1,0.0,0.0,Community
747,1,2023-08-12,Sat,Premier League,Matchweek 1,Home,Arsenal,Nott'ham Forest,Y,LB,49.0,0.0,0.0,0,0,0,0,1,0,51.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,49.0,89.8,7.0,39.0,0.0,0.0,0.0,Match Report,Jurrien-Timber,2023-24,,,,,,,,,W,2–1,2,1,0.0,1.0,1
748,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Bournemouth,West Ham,N,LW,31.0,0.0,0.0,0,0,0,0,0,0,18.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,1.0,13.0,0.0,0.0,0.0,Match Report,Justin-Kluivert,2023-24,,,,,,,,,D,1–1,1,1,0.0,1.0,1
749,1,2023-08-19,Sat,Premier League,Matchweek 2,Away,Bournemouth,Liverpool,N,LW,28.0,0.0,0.0,0,0,1,1,0,0,14.0,0.0,1,0.0,0.2,0.2,0.1,3.0,0.0,7.0,8.0,87.5,2.0,8.0,2.0,1.0,1.0,Match Report,Justin-Kluivert,2023-24,,,,,,,,,L,1–3,1,3,0.0,0.0,2
750,2,2023-08-26,Sat,Premier League,Matchweek 3,Home,Bournemouth,Tottenham,Y,LW,59.0,0.0,0.0,0,0,1,0,0,0,28.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,21.0,66.7,3.0,20.0,2.0,2.0,2.0,Match Report,Justin-Kluivert,2023-24,,,,,,,,,L,0–2,0,2,0.0,1.0,3
751,3,2023-08-29,Tue,EFL Cup,Second round,Away,Bournemouth,Swansea City,N,,9.0,0.0,1.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Justin-Kluivert,2023-24,,,,,,,,,W,3–2,3,2,0.0,0.0,round
752,0,2023-08-06,Sun,Community Shield,FA Community Shield,Neutral,Arsenal,Manchester City,Y,FW,86.0,0.0,0.0,0,0,2,2,1,0,,,1,,,,,,,,,,,,,,,Match Report,Kai-Havertz,2023-24,,,,,,,,,D,1 (4)–1 (1),1,1,0.0,0.0,Community
753,1,2023-08-12,Sat,Premier League,Matchweek 1,Home,Arsenal,Nott'ham Forest,Y,"LM,FW",90.0,0.0,0.0,0,0,2,0,0,0,65.0,1.0,1,1.0,0.1,0.1,0.2,3.0,0.0,47.0,54.0,87.0,4.0,54.0,3.0,1.0,0.0,Match Report,Kai-Havertz,2023-24,,,,,,,,,W,2–1,2,1,0.0,1.0,1
754,2,2023-08-21,Mon,Premier League,Matchweek 2,Away,Arsenal,Crystal Palace,Y,"LM,FW,CM",90.0,0.0,0.0,0,0,1,0,1,0,38.0,1.0,1,1.0,0.0,0.0,0.1,2.0,0.0,25.0,28.0,89.3,4.0,17.0,0.0,2.0,0.0,Match Report,Kai-Havertz,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,2
755,3,2023-08-26,Sat,Premier League,Matchweek 3,Home,Arsenal,Fulham,Y,LM,55.0,0.0,0.0,0,0,1,0,0,0,27.0,2.0,0,0.0,0.3,0.3,0.3,2.0,0.0,20.0,23.0,87.0,5.0,9.0,1.0,0.0,0.0,Match Report,Kai-Havertz,2023-24,,,,,,,,,D,2–2,2,2,0.0,1.0,3
756,0,2023-08-06,Sun,Community Shield,FA Community Shield,Neutral,Manchester City,Arsenal,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Kalvin-Phillips,2023-24,0,0,0,0,0,0,0,0,D,1 (1)–1 (4),1,1,0.0,0.0,Community
