FPL_points,FPL_points_2,FPL_points_4,FPL_pos,GW,Min_2,Min_4,Name_original,Opp_rating,Opp_score_2,Opp_score_4,Opponent,Player_CS_2,Player_CS_4,Saves_2,Saves_4,Season,Start_2,Start_4,Team,Team_rating,Team_result_2,Team_result_4,Was_home
7.0,4.0,2.75,GK,7,90.0,90.0,Aaron Ramsdale,1671.31408691,1.0,1.5,Everton,0.5,0.25,1.5,1.5,2022-23,1.0,1.0,Arsenal,1926.9465332,3.0,1.75,1.0
1.0,6.5,4.0,GK,26,90.0,90.0,Aaron Ramsdale,1642.80944824,0.0,1.25,Bournemouth,1.0,0.5,2.5,2.5,2022-23,1.0,1.0,Arsenal,1931.1171875,3.0,2.25,1.0
6.0,4.0,4.0,GK,27,90.0,90.0,Aaron Ramsdale,1735.72741699,1.0,1.0,Fulham,0.5,0.5,3.5,2.5,2022-23,1.0,1.0,Arsenal,1938.06079102,3.0,3.0,0.0
3.0,3.5,5.0,GK,28,90.0,90.0,Aaron Ramsdale,1736.67810059,1.0,0.5,Crystal Palace,0.5,0.75,2.0,2.25,2022-23,1.0,1.0,Arsenal,1948.6751709,3.0,3.0,1.0
3.0,4.5,4.25,GK,29,90.0,90.0,Aaron Ramsdale,1714.12573242,0.5,0.75,Leeds United,0.5,0.5,2.5,3.0,2022-23,1.0,1.0,Arsenal,1953.11169434,3.0,3.0,1.0
1.0,3.0,3.25,GK,30,90.0,90.0,Aaron Ramsdale,1929.04272461,1.0,1.0,Liverpool,0.0,0.25,3.5,2.75,2022-23,1.0,1.0,Arsenal,1956.79443359,3.0,3.0,0.0
1.0,2.0,3.25,GK,31,90.0,90.0,Aaron Ramsdale,1754.55395508,1.5,1.0,West Ham,0.0,0.25,4.0,3.25,2022-23,1.0,1.0,Arsenal,1957.52404785,2.0,2.5,0.0
2.0,1.0,2.0,GK,32,90.0,90.0,Aaron Ramsdale,1638.62390137,2.0,1.5,Southampton,0.0,0.0,2.5,3.0,2022-23,1.0,1.0,Arsenal,1946.55639648,1.0,2.0,1.0
1.0,1.5,1.75,GK,33,90.0,90.0,Aaron Ramsdale,2060.74511719,2.5,2.0,Manchester City,0.0,0.0,2.0,3.0,2022-23,1.0,1.0,Arsenal,1938.8548584,1.0,1.5,0.0
3.0,1.5,1.25,GK,34,90.0,90.0,Aaron Ramsdale,1792.68591309,3.5,2.75,Chelsea,0.0,0.0,4.0,3.25,2022-23,1.0,1.0,Arsenal,1932.02307129,0.5,0.75,1.0
10.0,2.0,1.75,GK,35,90.0,90.0,Aaron Ramsdale,1882.24060059,2.5,2.5,Newcastle Utd,0.0,0.0,4.0,3.0,2022-23,1.0,1.0,Arsenal,1937.29748535,1.5,1.25,0.0
2.0,6.5,4.0,GK,36,90.0,90.0,Aaron Ramsdale,1809.08300781,0.5,2.0,Brighton,0.5,0.25,4.0,4.0,2022-23,1.0,1.0,Arsenal,1949.28430176,3.0,1.75,1.0
2.0,6.0,4.0,GK,37,90.0,90.0,Aaron Ramsdale,1655.86071777,1.5,2.0,Nott'ham Forest,0.5,0.25,4.0,4.0,2022-23,1.0,1.0,Arsenal,1931.97436523,1.5,1.5,0.0
6.0,2.0,4.25,GK,38,90.0,90.0,Aaron Ramsdale,1724.83532715,2.0,1.25,Wolves,0.0,0.25,2.0,3.0,2022-23,1.0,1.0,Arsenal,1918.30969238,0.0,1.5,1.0
2.0,2.0,2.0,GK,1,90.0,90.0,Alex McCarthy,1771.19372559,3.0,3.0,Everton,0.0,0.0,3.0,3.0,2021-22,1.0,1.0,Southampton,1700.75109863,0.0,0.0,0.0
2.0,2.0,2.0,GK,2,90.0,90.0,Alex McCarthy,1933.12658691,3.0,3.0,Manchester Utd,0.0,0.0,3.0,3.0,2021-22,1.0,1.0,Southampton,1691.75646973,0.0,0.0,1.0
1.0,2.0,2.0,GK,3,90.0,90.0,Alex McCarthy,1706.3717041,2.0,2.0,Newcastle Utd,0.0,0.0,2.5,2.5,2021-22,1.0,1.0,Southampton,1698.64111328,0.5,0.5,0.0
7.0,1.5,1.6666666666666667,GK,4,90.0,90.0,Alex McCarthy,1828.11218262,1.5,2.0,West Ham,0.0,0.0,2.0,2.3333333333333335,2021-22,1.0,1.0,Southampton,1699.46179199,1.0,0.6666666666666666,1.0
6.0,4.0,3.0,GK,5,90.0,90.0,Alex McCarthy,2019.69970703,1.0,1.5,Manchester City,0.5,0.25,2.5,2.5,2021-22,1.0,1.0,Southampton,1701.97241211,1.0,0.75,0.0
2.0,6.5,4.0,GK,6,90.0,90.0,Alex McCarthy,1719.06140137,0.0,0.75,Wolves,1.0,0.5,2.0,2.0,2021-22,1.0,1.0,Southampton,1709.54711914,1.0,1.0,1.0
3.0,4.0,4.0,GK,7,90.0,90.0,Alex McCarthy,1933.4420166,0.5,0.75,Chelsea,0.5,0.5,1.5,2.0,2021-22,1.0,1.0,Southampton,1695.93395996,0.5,0.75,0.0
5.0,2.5,4.5,GK,8,90.0,90.0,Alex McCarthy,1757.73901367,2.0,1.0,Leeds United,0.0,0.5,4.0,3.0,2021-22,1.0,1.0,Southampton,1692.43884277,0.0,0.5,1.0
2.0,4.0,4.0,GK,9,90.0,90.0,Alex McCarthy,1682.89892578,1.5,1.0,Burnley,0.5,0.5,3.0,2.25,2021-22,1.0,1.0,Southampton,1704.64855957,1.5,1.0,1.0
8.0,3.5,3.0,GK,10,90.0,90.0,Alex McCarthy,1679.86669922,1.0,1.5,Watford,0.5,0.25,1.5,2.75,2021-22,1.0,1.0,Southampton,1703.05224609,2.0,1.0,0.0
9.0,5.0,4.5,GK,11,90.0,90.0,Alex McCarthy,1731.3034668,1.0,1.25,Aston Villa,0.5,0.5,3.0,3.0,2021-22,1.0,1.0,Southampton,1710.36352539,2.0,1.75,1.0
0.0,8.5,6.0,GK,13,90.0,90.0,Alex McCarthy,2000.11584473,0.0,0.5,Liverpool,1.0,0.75,3.0,2.25,2021-22,1.0,1.0,Southampton,1713.2911377,3.0,2.5,0.0
2.0,4.5,4.75,GK,14,90.0,90.0,Alex McCarthy,1780.07580566,2.0,1.5,Leicester City,0.5,0.5,2.5,2.75,2021-22,1.0,1.0,Southampton,1709.67480469,1.5,1.75,1.0
3.0,1.0,4.75,GK,15,90.0,90.0,Alex McCarthy,1737.53820801,3.0,1.5,Brighton,0.0,0.5,3.0,3.0,2021-22,1.0,1.0,Southampton,1710.68688965,0.5,1.75,1.0
0.0,2.5,3.5,GK,36,90.0,90.0,Alex McCarthy,1706.75805664,1.5,1.75,Brentford,0.0,0.25,3.5,3.0,2021-22,1.0,1.0,Southampton,1696.22363281,1.0,1.25,0.0
0.0,1.5,1.25,GK,38,45.0,67.5,Alex McCarthy,1774.56433105,2.0,2.5,Leicester City,0.0,0.0,1.5,2.25,2021-22,0.5,0.75,Southampton,1682.93493652,0.5,0.5,0.0
0.0,0.0,1.25,GK,1,45.0,67.5,Alex McCarthy,1866.82617188,3.5,2.5,Tottenham,0.0,0.0,1.0,2.25,2022-23,0.5,0.75,Southampton,1671.81921387,0.0,0.5,0.0
